doy,year,tmax,tmin
1,2040,11.46514878,0.15812779
1,2041,1.378663117,-7.185002373
1,2042,9.232826026,-1.916948055
1,2043,11.71739036,3.886750253
1,2044,5.220296283,-6.491566682
1,2045,3.444437018,-5.883670664
1,2046,12.18356299,2.890110312
1,2047,8.513850109,-2.350761716
1,2048,6.754293653,-3.449743904
1,2049,2.938096183,-6.034806083
1,2050,4.219677747,-6.510579073
1,2051,2.983819834,-5.226667144
1,2052,7.589582005,-4.823973698
1,2053,6.595061312,-7.376190074
1,2054,9.444611944,-2.091126164
1,2055,5.285828034,-5.332659423
1,2056,11.34770603,-3.741156116
1,2057,8.658754275,-0.55857986
1,2058,12.32909117,10.36472702
1,2059,3.045069676,-6.121573433
1,2060,9.673272755,4.024055808
1,2061,3.357261246,-6.556301982
1,2062,8.344858369,-3.473190913
1,2063,8.706791583,-2.982663291
1,2064,11.81766988,4.768533837
1,2065,1.388021593,-8.37710933
1,2066,13.4386166,8.283672333
1,2067,10.89404967,-2.252963206
1,2068,7.874689358,-1.503451925
1,2069,11.95054379,3.381904353
2,2040,10.8498565,7.526130573
2,2041,2.69069717,-6.946760113
2,2042,9.47987477,-1.625598988
2,2043,9.199326915,0.231872996
2,2044,2.669498948,-7.634296671
2,2045,5.821956156,-4.491321144
2,2046,10.52859732,3.301504903
2,2047,11.6408308,5.253540912
2,2048,6.829879339,-2.759668661
2,2049,3.831381085,-5.985247552
2,2050,3.041822697,-6.473989188
2,2051,3.383864767,-6.144147235
2,2052,2.548282159,-8.483092085
2,2053,10.3730364,1.29704929
2,2054,8.717514196,-5.535331253
2,2055,10.25345503,-1.07429221
2,2056,12.10216587,-2.035255479
2,2057,8.405476037,3.826711703
2,2058,12.30964872,9.46995163
2,2059,6.874471638,-4.740180098
2,2060,8.833555812,1.323956673
2,2061,4.851875883,-5.899739175
2,2062,10.9387008,-1.623099815
2,2063,3.759894974,-6.017777161
2,2064,10.28092421,3.456038912
2,2065,-0.682775656,-8.644793924
2,2066,13.13232548,6.172391774
2,2067,4.676448328,-7.12491713
2,2068,7.020031029,-2.810707695
2,2069,12.79338846,5.664413428
3,2040,9.972604116,4.66098652
3,2041,3.973077336,-5.286026083
3,2042,9.017211353,3.963495183
3,2043,10.67514463,0.989679105
3,2044,2.173458515,-7.63941994
3,2045,9.239236349,-1.574990742
3,2046,8.942751571,-4.100610034
3,2047,12.08519,6.401060341
3,2048,11.44663564,-0.705264831
3,2049,8.007727735,-2.709081805
3,2050,6.399715479,-4.580608872
3,2051,2.687379017,-7.915861768
3,2052,3.493800352,-8.220077634
3,2053,10.8601606,5.480643255
3,2054,1.913637891,-7.640700757
3,2055,9.184024852,-1.508137873
3,2056,12.52714298,2.581564369
3,2057,11.04311576,4.548740534
3,2058,11.49581118,3.590734095
3,2059,11.59859769,-0.570758856
3,2060,9.659255234,0.812230073
3,2061,5.840331285,-2.560305214
3,2062,11.35387708,6.80149137
3,2063,8.031337785,-5.102655685
3,2064,10.16397461,5.146515669
3,2065,3.87388563,-8.224359138
3,2066,9.370544593,1.484653548
3,2067,1.152629205,-7.35181446
3,2068,4.474924076,-7.112780539
3,2069,10.21989988,-4.14013823
4,2040,10.93686896,-1.079943813
4,2041,3.623200658,-6.328271797
4,2042,8.774344046,0.883617615
4,2043,11.30720853,3.902934558
4,2044,2.964740031,-8.537705221
4,2045,10.51806424,-1.206889893
4,2046,5.731383576,-4.489479284
4,2047,9.017948579,-3.647437503
4,2048,11.59589786,-6.913833964
4,2049,15.31881809,-0.311111073
4,2050,9.529374141,-1.910272401
4,2051,0.890309959,-7.821894023
4,2052,5.33569156,-6.233860241
4,2053,10.54714472,2.558593098
4,2054,1.361473753,-7.517218444
4,2055,9.224347856,-0.236457661
4,2056,8.078421409,-0.771978677
4,2057,10.99846462,6.760247496
4,2058,9.407145474,-1.953293283
4,2059,13.08923289,6.064322383
4,2060,9.194984437,-0.699572524
4,2061,7.403128244,-2.153226425
4,2062,9.519518072,3.870565948
4,2063,11.6165323,-0.261571482
4,2064,10.10870824,-4.290379641
4,2065,5.321148032,-3.489630643
4,2066,8.605543358,1.566123126
4,2067,1.092331608,-8.776723015
4,2068,1.669530873,-7.057575015
4,2069,4.561714039,-6.415943164
5,2040,8.992440574,-4.567144357
5,2041,1.305650536,-7.656536315
5,2042,8.286410348,-0.774710985
5,2043,9.889429371,-4.678860665
5,2044,0.427731181,-8.473885069
5,2045,8.671192507,-0.597331212
5,2046,8.824096972,-3.889700607
5,2047,5.60250466,-4.101540113
5,2048,3.000202322,-6.923631501
5,2049,14.84500211,5.045755319
5,2050,11.66416507,7.52090983
5,2051,3.887716752,-7.372185509
5,2052,1.371532849,-8.321323527
5,2053,8.504141412,-4.155635834
5,2054,3.875758595,-6.991072264
5,2055,10.07768067,4.245415334
5,2056,10.81825723,0.140730153
5,2057,11.91876844,5.051498137
5,2058,10.23717091,-1.560620499
5,2059,13.20530721,-0.410706294
5,2060,5.620829823,-6.505736294
5,2061,9.973647059,-1.744622085
5,2062,10.68384588,4.714238104
5,2063,8.457755416,-1.969240678
5,2064,4.265521824,-5.644130768
5,2065,5.181912568,-3.523292948
5,2066,8.900839447,0.696990184
5,2067,0.322670338,-8.693672069
5,2068,1.424564216,-7.547933802
5,2069,3.479359084,-6.003149753
6,2040,8.369824998,-4.511581598
6,2041,2.490429749,-7.457398364
6,2042,8.668404627,-0.288749452
6,2043,5.189035264,-4.607829907
6,2044,3.292949903,-7.454057412
6,2045,8.975484386,-2.942626455
6,2046,10.33800087,-0.898575601
6,2047,6.705462402,-3.582251985
6,2048,3.859622286,-6.612280578
6,2049,10.43981774,5.07707978
6,2050,13.76928333,-6.602243036
6,2051,6.187425105,-3.437064613
6,2052,0.260498197,-8.221588753
6,2053,4.191053835,-5.443480135
6,2054,3.800053231,-6.45799894
6,2055,8.172652295,-0.83732637
6,2056,7.222217712,-6.113688803
6,2057,8.381926727,0.177862422
6,2058,17.08346653,9.056377411
6,2059,5.787525089,-1.344642172
6,2060,2.937005499,-6.396969099
6,2061,9.486664507,-1.542501497
6,2062,10.83039318,2.213395189
6,2063,8.002814661,-4.154100035
6,2064,5.234001654,-4.821731729
6,2065,8.528592945,-5.145508357
6,2066,9.9812084,0.137354493
6,2067,0.126824445,-8.563143464
6,2068,0.332349834,-8.091326844
6,2069,3.938719013,-5.554882015
7,2040,8.218736761,-4.08665885
7,2041,2.878810392,-7.118812496
7,2042,7.256676441,-0.346201617
7,2043,10.84962752,-0.36237079
